sku,in_db,in_ss,in_bc,db_available,db_on_hand,db_bc_mapped,db_client_store_maps,ss_available,ss_on_hand,bc_quantity_available,bc_band_name,bc_title
00198704240478,0,0,1,,,0,0,,,30,LEAVING RECORDS,VINYL
00669158573110,0,0,1,,,0,0,,,0,LEAVING RECORDS,Holiday Mystery Bundle - Black
00669158573127,0,0,1,,,0,0,,,0,LEAVING RECORDS,Holiday Mystery Bundle - Orange
198704169588,1,0,1,,,0,0,,,38,LEAVING RECORDS,CASSETTE
198704240478,1,0,0,,,0,0,,,,,
26BLITZ-SHIRT,1,0,1,,,0,0,,,,True Panther,#26BLITZ T-shirt
26BLITZ-SHIRT-2,0,0,1,,,0,0,,,,True Panther,#26BLITZ T-shirt
26BLITZ-SHIRT-3,0,0,1,,,0,0,,,,True Panther,#26BLITZ T-shirt
26BLITZ-SHIRT-4,0,0,1,,,0,0,,,,True Panther,#26BLITZ T-shirt
669158573110,1,0,0,,,0,0,,,,,
669158573127,1,0,0,,,0,0,,,,,
669158573523,1,0,1,,,0,0,,,30,LEAVING RECORDS,BLACK VINYL
9000000159534943294,1,0,1,,,0,0,,,0,True Panther,Limited Edition Cassette Tape
9000000159534965442,1,0,1,,,0,0,,,0,True Panther,"Limited Edition 12"" Vinyl"
A-DA-2019,1,0,1,,,0,0,,,0,Whited Sepulchre Records,PACKAGE: 2019 Fall Cassette Batch
A-ISTN-BV,1,0,1,,,0,0,,,0,LEAVING RECORDS,BLACK VINYL
A-ISTN-TP,1,0,1,,,0,0,,,0,LEAVING RECORDS,TEST PRESSING
A-ND-C,1,0,1,,,0,0,,,24,LEAVING RECORDS,CASSETTE
AC-C,1,0,1,,,0,0,,,74,LEAVING RECORDS,Cassette
AC-CIP-C,1,0,1,,,0,0,,,48,LEAVING RECORDS,CASSETTE
AC-CIP-TP,1,0,1,,,0,0,,,0,LEAVING RECORDS,TEST PRESSING
AC-CIP-V,1,0,1,,,0,0,,,30,LEAVING RECORDS,VINYL
AD-ADT,1,0,1,,,0,0,,,0,LEAVING RECORDS,Ami Dang Tote
AD-MMV1-C,1,0,1,,,0,0,,,3,LEAVING RECORDS,CASSETTE
AD-PP-12VL,1,0,1,,,0,0,,,0,LEAVING RECORDS,"12"" VINYL LP"
ADDITIONAL-SHIPPING,1,0,1,,,0,0,,,,True Panther,Additional Shipping (USPS Media Mail)
AE-VTWC-LEOS,1,0,1,,,0,0,,,74,Whited Sepulchre Records,"Limited Edition One-Sided 12"" LP"
AE-VTWC-PWF1,1,0,1,,,0,0,,,0,Whited Sepulchre Records,"PACKAGE: WSR Four 12"" Series"
AE-VTWC-VTWC,1,0,1,,,0,0,,,1,Whited Sepulchre Records,Variegated Tributary / Woven Crescent Test Press + LP (Edition of 1)
AH-F-FTPL,1,0,1,,,0,0,,,1,Whited Sepulchre Records,Fatigue Test Press + LP (Edition of 1)
AH-F-LE18,1,0,1,,,0,0,,,115,Whited Sepulchre Records,Limited Edition 180 Gram Vinyl
AJ-D-C,1,0,1,,,0,0,,,55,LEAVING RECORDS,CASSETTE
AJ-D-C-1,1,0,1,,,0,0,,,0,LEAVING RECORDS,CASSETTE
AJ-D-TPV,1,0,1,,,0,0,,,0,LEAVING RECORDS,TEST PRESSING VINYL
AJ-D-V,1,0,1,,,0,0,,,48,LEAVING RECORDS,VINYL
AL-SD-LECV-1,1,0,1,,,0,0,,,37,Whited Sepulchre Records,Limited Edition Clear Vinyl + Split Cassette w/ braeyden jae + Limited Edition Insert
AL-T-LECV,1,0,1,,,0,0,,,0,Whited Sepulchre Records,"Limited Edition Color Variant Re-Issue + T-Shirt & Tote w/ Redesigned Cover, Risograph Insert, Liner Notes"
AL-T-LECV-1,1,0,1,,,0,0,,,3,Whited Sepulchre Records,"Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
AL-T-LECV-SS,0,0,1,,,0,0,,,1,Whited Sepulchre Records,"Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
AL-T-LECV-SS-1,0,0,1,,,0,0,,,0,Whited Sepulchre Records,"Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
AL-T-LECV-SS-2,0,0,1,,,0,0,,,0,Whited Sepulchre Records,"Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
AL-T-LECV-SS-3,0,0,1,,,0,0,,,1,Whited Sepulchre Records,"Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
AL-T-LECV-SS-4,0,0,1,,,0,0,,,1,Whited Sepulchre Records,"Limited Edition Color Variant Re-Issue + T-Shirt  w/ Redesigned Cover, Risograph Insert, Liner Notes"
AR-12V,1,0,1,,,0,0,,,0,LEAVING RECORDS,"~~~ 12"" VINYL"
AR-L2EC,1,0,1,,,0,0,,,0,LEAVING RECORDS,~~~ CASSETTE
AS-ASII-SV,1,0,1,,,0,0,,,37,LEAVING RECORDS,MARBLED VINYL
AS-ASII-TPV,1,0,1,,,0,0,,,0,LEAVING RECORDS,TEST PRESSING VINYL
AS-ASII-V,1,0,1,,,0,0,,,38,LEAVING RECORDS,VINYL
ASIPV027X,1,0,1,,,0,0,,,22,LILA लीला,Double CD in Digipak
ASIPV049,1,0,1,,,0,0,,,5,LILA लीला,Transparent Double Vinyl In Gatefold Sleeve
AT-TM-TMV,1,0,1,,,0,0,,,0,LEAVING RECORDS,Temporary Music VINYL
AV-TG-C,1,0,1,,,0,0,,,15,LEAVING RECORDS,CASSETTE
AV-TG-V,1,0,1,,,0,0,,,10,LEAVING RECORDS,VINYL
B-A-ACD,1,0,1,,,0,0,,,0,True Panther,Amour Compact Disc
B-A-ALP,1,0,1,,,0,0,,,124,True Panther,"Limited Edition 12"" Black Vinyl + Flexi/Poster"
B-B8P-POSTER,1,0,1,,,0,0,,,0,True Panther,Babymorocco 885x590mm Poster
B-CE-C,1,0,1,,,0,0,,,0,LEAVING RECORDS,CASSETTE
B-HG-ALMC,1,0,1,,,0,0,,,0,LEAVING RECORDS,a limited marbled cassette edition
B-HG-ALSE,1,0,1,,,0,0,,,0,LEAVING RECORDS,a limited standard edition
B-LL-LLLE,1,0,1,,,0,0,,,0,LEAVING RECORDS,loose leaf limited edition cassette
B-SP-SPTP,1,0,1,,,0,0,,,184,True Panther,sleep paralysis Translucent Purple Vinyl
B-SP-SPV,1,0,1,,,0,0,,,0,True Panther,sleep paralysis Glow-In-The-Dark Green Vinyl
B-TS-STSC,1,0,1,,,0,0,,,0,True Panther,The Sound Compact Disc
B-TS-TSCD,1,0,1,,,0,0,,,0,True Panther,The Sound Compact Disc
BAG-WSR-036,1,0,1,,,0,0,,,0,Whited Sepulchre Records,Tender Tote
BAG-WSR-TLT,1,0,1,,,0,0,,,,Whited Sepulchre Records,Talk Low Tote
BB-TS-TS12,1,0,1,,,0,0,,,0,LEAVING RECORDS,"The Snake 12"" VINYL"
BDW-TI-BC,1,0,1,,,0,0,,,38,LEAVING RECORDS,BLUE CASSETTE
BDW-TI-BV,1,0,1,,,0,0,,,0,LEAVING RECORDS,BLACK VINYL
BDW-TI-TPV,1,0,1,,,0,0,,,0,LEAVING RECORDS,TEST PRESSING VINYL
BF-ATTW-BV,1,0,1,,,0,0,,,24,LEAVING RECORDS,BLUE VINYL
BF-ATTW-C,1,0,1,,,0,0,,,58,LEAVING RECORDS,CASSETTE
BF-ATTW-V,1,0,1,,,0,0,,,0,LEAVING RECORDS,BLACK VINYL
BJ-FM-FMTP,1,0,1,,,0,0,,,0,Whited Sepulchre Records,Fog Mirror Test Press + LP (Edition of 1)
BJ-FM-LEVS,1,0,1,,,0,0,,,0,Whited Sepulchre Records,Limited Edition White Vinyl + Split Cassette w/ ant'lrd + Speciality Insert
BK-BKSP-LESC,1,0,1,,,0,0,,,0,Whited Sepulchre Records,Limited Edition Split Cassette with Sympathy Pain
BK-BKSP-SLEC,1,0,1,,,0,0,,,27,Whited Sepulchre Records,Super Limited Edition Cassette w. Alt. Artwork
BM-ATTW-TP,1,0,1,,,0,0,,,0,LEAVING RECORDS,TEST PRESSING
BM-YNM-C,1,0,1,,,0,0,,,0,LEAVING RECORDS,CASSETTE
BOOK-FRCS-NA-ER,1,0,0,,,0,0,,,,,
BOOK-IP-BRLW-ARCBYWW,1,0,0,,,0,0,,,,,
BOOK-SRR-NS-TMF,1,0,0,,,0,0,,,,,
BOOK-WSR-039,1,1,1,,,0,0,2,2,10,Whited Sepulchre Records,Limited Edition Still Water Zine
BP-INTS-S,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-INTS-S-1,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-INTS-S-2,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
BP-INTS-S-3,0,0,1,,,0,0,,,0,Northern Spy Records,Instant Night T-Shirt Bundle
