sku,existing_qty,bandcamp_qty,account,product_title
CD-BW-010,48,48,"Birdwatcher Records","Adir L.C. Basket Star CD"
BW 006,36,36,"Birdwatcher Records","Cale Brandley with Triptych Myth: Finding Fire CD"
G-OS-CID,133,133,"Birdwatcher Records","CD in Digipack"
CS-BW-010,74,74,"Birdwatcher Records","Limited Edition Cassette"
CD-BW-001,6,6,"Birdwatcher Records","Limited Edition Compact Disc"
CD-BW-013,46,46,"Birdwatcher Records","Timoka Deluxe CD in Jacket"
LP-BW-013,44,44,"Birdwatcher Records","Timoka Deluxe Vinyl"
SK-TOT-TOTC,64,64,"Birdwatcher Records","Tulip or Turnip CD in Digipack"
LP-EHR-060,7,8,"Egghunt Records","Black 12" LP (BioVinyl)"
LP-EHR-053,9,9,"Egghunt Records","Limited Bandcamp Exclusive 12" Vinyl"
MLP-EHR-027,19,19,"Egghunt Records","Limited Edition 12" Vinyl"
CS-EHR-016,1,1,"Egghunt Records","Limited Edition Cassette"
MLP-EHR-054C1,49,49,"Egghunt Records","Limited Edition Solid Gold 12" Vinyl"
LP-EHR-054,53,53,"Egghunt Records","Standard Black 12" Vinyl"
CNO-BBFG-BBFG,232,232,"Good Neighbor","Bubble Bath for Giants LP"
ITP-ID-12V,14,14,"In The Pines","12" Vinyl"
ITP-SB-12V,3,3,"In The Pines","12" Vinyl"
ITP-PBN-LEOT,28,28,"In The Pines","LTD Edition orange translucent 12" vinyl"
ITP-PBNT-1,8,1,"In The Pines","Painting By Numbers tee (bay blue)"
ITP-PBNT-1,8,2,"In The Pines","Painting By Numbers tee (bay blue)"
ITP-PBNT-1,8,2,"In The Pines","Painting By Numbers tee (bay blue)"
ITP-PBNT-1,8,2,"In The Pines","Painting By Numbers tee (bay blue)"
ITP-PBNT-1,8,1,"In The Pines","Painting By Numbers tee (bay blue)"
ITP-PBNT,7,1,"In The Pines","Painting By Numbers Tee (espresso)"
ITP-PBNT,7,2,"In The Pines","Painting By Numbers Tee (espresso)"
ITP-PBNT,7,1,"In The Pines","Painting By Numbers Tee (espresso)"
ITP-PBNT,7,1,"In The Pines","Painting By Numbers Tee (espresso)"
ITP-PBNT,7,1,"In The Pines","Painting By Numbers Tee (espresso)"
ITP-PBNT,7,1,"In The Pines","Painting By Numbers Tee (espresso)"
LR118-1,49,49,"LEAVING RECORDS","1/LP Black Vinyl"
TANF-DC-DC12,1,1,"LEAVING RECORDS","12" LP"
SGSW-MFSA-12V,62,1,"LEAVING RECORDS","12" VINYL"
LR159,72,205,"LEAVING RECORDS","12" Vinyl LP"
X-W-12VL,7,7,"LEAVING RECORDS","12" VINYL LP"
SBNM-SM-2,4,4,"LEAVING RECORDS","2LP"
M-MM-2BV,63,469,"LEAVING RECORDS","2LP BLACK VINYL"
SBNM-SM-2V,187,7,"LEAVING RECORDS","2LP VINYL"
FH-E-2CEA,76,76,"LEAVING RECORDS","2ND CASSETTE EDITION: AQUA EURYBIA"
L-AIOP-AIOP,87,87,"LEAVING RECORDS","All In One Peace 3CS Bundle"
NK-ABP,5,2,"LEAVING RECORDS","Arches Block Print"
L-IWT2-B2V,48,367,"LEAVING RECORDS","BLACK 2LP VINYL"
NG-MBTTU-V,76,42,"LEAVING RECORDS","BLACK VINYL"
FDN-SC-FDNS,89,89,"LEAVING RECORDS","BLACK VINYL"
BDW-TI-BV,287,287,"LEAVING RECORDS","BLACK VINYL"
A-ISTN-BV,70,1,"LEAVING RECORDS","BLACK VINYL"
CP-LEE-V,60,1,"LEAVING RECORDS","BLACK VINYL"
HTN-U-V,32,499,"LEAVING RECORDS","BLACK VINYL"
BF-ATTW-V,193,193,"LEAVING RECORDS","BLACK VINYL"
GH-AHFA-BV,51,51,"LEAVING RECORDS","BLACK VINYL"
669158573523,35,387,"LEAVING RECORDS","BLACK VINYL"
BDW-TI-BC,32,139,"LEAVING RECORDS","BLUE CASSETTE"
BF-ATTW-BV,78,63,"LEAVING RECORDS","BLUE VINYL"
L-BS,117,117,"LEAVING RECORDS","BUMPER STICKER"
AC-C,67,67,"LEAVING RECORDS","Cassette"
A-ND-C,25,25,"LEAVING RECORDS","CASSETTE"
FH-BB-C,65,65,"LEAVING RECORDS","CASSETTE"
NG-CS-CC,46,46,"LEAVING RECORDS","CASSETTE"
FDN-SC-LEC,13,70,"LEAVING RECORDS","CASSETTE"
LL-RM-C,287,185,"LEAVING RECORDS","CASSETTE"
LACD-IF-C,109,109,"LEAVING RECORDS","CASSETTE"
SBNM-SM-C,1,132,"LEAVING RECORDS","CASSETTE"
SCD-SCD-CS,132,1,"LEAVING RECORDS","CASSETTE"
JB-D3-C,1,130,"LEAVING RECORDS","CASSETTE"
TD-HF-C-1,168,1,"LEAVING RECORDS","CASSETTE"
AV-TG-C,134,60,"LEAVING RECORDS","CASSETTE"
SZ-SL-C,169,169,"LEAVING RECORDS","CASSETTE"
CP-LSEE-C-1,77,77,"LEAVING RECORDS","CASSETTE"
CP-LSEE-C,169,1,"LEAVING RECORDS","CASSETTE"
BF-ATTW-C,1,161,"LEAVING RECORDS","CASSETTE"
LS-FDIQ-C,498,1,"LEAVING RECORDS","CASSETTE"
DTPG-THH-C,9,9,"LEAVING RECORDS","CASSETTE"
AJ-D-C-1,52,32,"LEAVING RECORDS","CASSETTE"
AJ-D-C,50,50,"LEAVING RECORDS","CASSETTE"
SG-DT-C,260,260,"LEAVING RECORDS","CASSETTE"
TW-SW-C,143,143,"LEAVING RECORDS","CASSETTE"
L-T-C,48,48,"LEAVING RECORDS","CASSETTE"
Z-SL-C,95,95,"LEAVING RECORDS","CASSETTE"
M-JSP-C,48,48,"LEAVING RECORDS","CASSETTE"
C-ERE-C,49,49,"LEAVING RECORDS","CASSETTE"
AD-MMV1-C,26,61,"LEAVING RECORDS","CASSETTE"
SS-SE-CS,185,185,"LEAVING RECORDS","CASSETTE"
M-OM-C,7,7,"LEAVING RECORDS","CASSETTE"
M-CT-C,80,80,"LEAVING RECORDS","CASSETTE"
BT-SAFN-C-1,20,29,"LEAVING RECORDS","CASSETTE"
BT-SAFN-C,21,21,"LEAVING RECORDS","CASSETTE"
L-IWT2-T,18,118,"LEAVING RECORDS","CASSETTE"
L-IHYA-C,87,87,"LEAVING RECORDS","CASSETTE"
CNO-EIPO-C,20,14,"LEAVING RECORDS","CASSETTE"
JJ-IAP-C,15,88,"LEAVING RECORDS","CASSETTE"
AC-CIP-C,62,62,"LEAVING RECORDS","CASSETTE"
DE-E-C,88,49,"LEAVING RECORDS","CASSETTE"
WTLS-U-C,32,32,"LEAVING RECORDS","CASSETTE"
LR-MFSA-C4E,48,48,"LEAVING RECORDS","CASSETTE"
LR-CWTI-CCWT,1,40,"LEAVING RECORDS","CASSETTE - Connecting with the Inner Healer Through Music"
C-MITP-CB,76,76,"LEAVING RECORDS","CASSETTE BUNDLE"
C-D-CB,125,125,"LEAVING RECORDS","CASSETTE BUNDLE"
LR-LC-CLC,20,20,"LEAVING RECORDS","CASSETTE: Lotus Collage"
LR-UIP-CUIP,14,14,"LEAVING RECORDS","CASSETTE: Unicorns In Paradise"
SWJM-PTCO-CJI,50,2,"LEAVING RECORDS","CD (Japan Import)"
SGSW-TD-CJI,32,2,"LEAVING RECORDS","CD (Japan Import)"
L-IWT2-C2V,1,1,"LEAVING RECORDS","CLEAR 2LP VINYL"
FDN-DN-TCV,89,50,"LEAVING RECORDS","COLOR VINYL"
K-C-CC,47,111,"LEAVING RECORDS","Colors CASSETTE"
SG-B-CDJE,55,55,"LEAVING RECORDS","COMPACT DISC (JAPAN EDITION)"
GB-E-DV,5,168,"LEAVING RECORDS","EXTRAVINYL"
FE-TNIF-FE12,35,35,"LEAVING RECORDS","Flaunt Edwards 12" Vinyl"
GV-GV-GVV,117,10,"LEAVING RECORDS","Galdre Visions VINYL"
GM-GE-GELE,3,3,"LEAVING RECORDS","Gliamd EP Limited Edition Cassette"
L-IWT2-IC,20,20,"LEAVING RECORDS","INTERGALACTIC CASSETTE"
M-OM-LT,49,20,"LEAVING RECORDS","LTD CASSETTE"
NH-TPOD-MC,62,62,"LEAVING RECORDS","MARBLED CASSETTE"
AS-ASII-SV,27,27,"LEAVING RECORDS","MARBLED VINYL"
LR142,47,47,"LEAVING RECORDS","MIVS&BG OFFICIAL VINYL"
M-S,41,4,"LEAVING RECORDS","MYCELIUM MUSIC SHIRT"
M-S,41,9,"LEAVING RECORDS","MYCELIUM MUSIC SHIRT"
M-S,41,12,"LEAVING RECORDS","MYCELIUM MUSIC SHIRT"
