account,artist,product_title,sku_item,sku_option,package_id,qty_available
"Egghunt Records","feralconservatives","Here's to ALmost","MERCH-EGGHUN-HERE-S-TO-AL","",3320092478,0
"Egghunt Records","dollbabyrva","Limited Edition Cassette #100","CS-EGGHUN-HELL-BLOCK","",2345951590,0
"Egghunt Records","feralconservatives","The Feeling Noise Becomes","MERCH-EGGHUN-THE-FEELING-","",4004978052,0
"In The Pines","inthepinesmusic","Limited Edition Cassette","CS-IN-THE-SAN-LORENZO","",778393147,89
"LEAVING RECORDS","swarvy","*Elderberry 12" Vinyl Edition","LP-LEAVIN-ELDERBERRY","",1395483504,0
"LEAVING RECORDS","swarvy","*Elderberry Cassette Edtion","CS-LEAVIN-ELDERBERRY","",1497856306,0
"LEAVING RECORDS","matthewdavidmcq","Ltd. Ashram Cassette","CS-LEAVIN-ASHRAM","",2729862015,0
"LEAVING RECORDS","josiahsteinbrick","ltd. BANANA LIVE CASSETTE","CS-LEAVIN-BANANA-LIVE","",3918398146,0
"LEAVING RECORDS","colepulice","VINYL","00198704240478","",3640968246,32
"Micah Thomas","micahthomas","CD Digipak","MERCH-MICAH--TIDE","",2178830290,117
"NNA Tapes","bookerstardrum","Limited Edition Cassette","CS-NNA-TA-DANCE-AND","",268977721,0
"NNA Tapes","tredicibacci","Limited Edition Cassette!","CS-NNA-TA-THE-THIRTEEN","",3167639848,0
"NNA Tapes","tredicibacci","Sweet Tasty Vinyl!","LP-NNA-TA-THE-THIRTEEN","",2591490358,0
"Northern Spy Records","shilparay","High Fidelity Stereo Lathe Cut","MERCH-NORTHE-PAISLEY","",1603259857,0
"Northern Spy Records","cloudbecomesyourhand","Limited Edition Colored Vinyl","LP-NORTHE-REST-IN-FLEA","",2756654693,0
"True Panther","elorisaxl","Seeing Is Forgetting (Clear 12" LP)","EHSIF-CLR","",1228657708,150
