sku,old_title,new_title,shopify_id
"SG-DT-RV","LEAVING RECORDS - Dream Trio - BLACK VINYL","Sam Gendel - Dream Trio LP",""
"26BLITZ-SHIRT","#26BLITZ T-shirt","True Panther - #26BLITZ T-shirt","gid://shopify/Product/10310474006843"
"SWJM-PTCO-CJI","LEAVING RECORDS - Plant Music Vol.3 - The Golden Teachers - PLANT MUSIC TAPE BUNDLE","Sam Wilkes & Jacob Mann - Perform the Compositions of Sam Wilkes & Jacob Mann CD",""
"WSR-TLTB","Talk Low Tote Bag","Whited Sepulchre Records - Talk Low Tote Bag","gid://shopify/Product/10310477250875"
"SI-SR-LYST","Multi Colored Savage Tote Bag","Shilpa Ray - Multi Colored Savage Tote Bag","gid://shopify/Product/10310469255483"
"FDN-DN-WRCV","LEAVING RECORDS - Strawberry Season - PINK & BLACK VINYL","Fabiano do Nascimento - Das Nuvens LP",""
"CS-NIPOMO-4ZAM","Northern Spy Records - Nipomo - CASSETTE","Northern Spy Records - Nipomo Cassette",""
"LR-HWGW-GWC","LEAVING RECORDS - The Middle Sister - The Middle Sister 12"" Vinyl LP","LEAVING RECORDS - High Wolf - Growing Wild LP",""
"NT-NTSG","NNA Tapes Shirt (Green)","NNA Tapes - NNA Tapes Shirt (Green)","gid://shopify/Product/10310472007995"
"LR-D-12VL","LILA लीला - Deep Ground - Limited Edition CD.","LEAVING RECORDS - Dang Cassette",""
"FDN-DN-TCV","LEAVING RECORDS - Solstice Concert - BLACK VINYL","Fabiano do Nascimento - Das Nuvens LP",""
"LR-BODO-LE12","LEAVING RECORDS - Visions in Paraíso - LIMITED EDTION CASSETTE: VISIONS IN PARAÍSO","Carlos Niño - Bliss On Dear Oneness LP",""
"WSR-LEWT","Limited Edition WSR Tote Bag","Whited Sepulchre Records - Limited Edition WSR Tote Bag","gid://shopify/Product/10310477611323"
"CNO-GH-GHV","LEAVING RECORDS - I Hope You Are Well - Limited Edition Cassette","Carlos Niño - Going Home LP",""
"LR118-2","LEAVING RECORDS - Temporary Music - Temporary Music VINYL","Kiefer - Kickinit Alone LP",""
"LS-SS","LEAVING RECORDS - After The Town Was Swept Away - CASSETTE","Luke Schneider - STICKER SET",""
"SG-B-CDJE","LEAVING RECORDS - AE-30 - TEST PRESSING","Sam Gendel - blueblue LP",""
"CM-SW-CMSW","LEAVING RECORDS - Six Arrows for Naydra - CASSETTE","Cool Maritime - Shared Waves Cassette",""
"QO-SA-VB","LEAVING RECORDS - Red Moon - CASSETTE","Qoa - SAUCO LP",""
"ITP-PBNT-1","Painting By Numbers tee (bay blue)","In The Pines - Painting By Numbers tee (bay blue)","gid://shopify/Product/10310465552699"
"LS-SBZL","LEAVING RECORDS - The Doober - VINYL","Lord Spikeheart - Special offer: Zebra Long Sleeve + Zebra Hoodie",""
"LS-MPPT","LEAVING RECORDS - Music for Saxofone and Bass Guitar More - 12"" VINYL","Lord Spikeheart - TYVM Hoodie. Black",""
"S-SPBD","SUSS Poster by Darryl Norsen","SUSS - SUSS Poster by Darryl Norsen","gid://shopify/Product/10310471221563"
"WS0051R","Haekalu Black Long Sleeve","Lord Spikeheart - Haekalu Black Long Sleeve","gid://shopify/Product/10310466896187"
"ITP-PBNT","Painting By Numbers Tee (espresso)","In The Pines - Painting By Numbers Tee (espresso)","gid://shopify/Product/10310465585467"
"GB-E-DV","LEAVING RECORDS - Sam Wilkes, Craig Weinrib, and Dylan Day - VINYL","Guy Blakeslee - EXTRAVISION LP",""
"GH-MFLS-V","LEAVING RECORDS - And So It Is - VINYL","Green-House - Music for Living Spaces LP",""
"NS-158-SHIRT","T-Shirt (The New Black)","The Necks - T-Shirt (The New Black)","gid://shopify/Product/10310470402363"
"M-CT-C","LEAVING RECORDS - Human Voice - Human Voice 12"" VINYL LP","Matthewdavid - Care Tracts Cassette",""
"LS-TLSB","LEAVING RECORDS - The Doober - CASSETTE","Lord Spikeheart - TYVM Long Sleeve Black",""
"CP-LSEE-TP","LEAVING RECORDS - high functioning - CASSETTE","Cole Pulice - Land's End Eternal LP",""
"WS0050R","Lord Spikeheart Short Sleeve T-Shirt. Black","Lord Spikeheart - Lord Spikeheart Short Sleeve T-Shirt. Black","gid://shopify/Product/10310466928955"
"LR-VSBL","LEAVING RECORDS - Cyclist - Bones in Motion - Bones In Motion 2LP VINYL","LEAVING RECORDS - VINYL SHIRT BUNDLE (LONGSLEEVE)",""
"BAG-WSR-036","Tender Tote","Allison Lorenzen - Tender Tote","gid://shopify/Product/10310478627131"
"LR-AGMD","LEAVING RECORDS - Sisters Remix EP - 12"" Vinyl","LEAVING RECORDS - ALL GENRE MAGIC DOOR (ATLANTIC GREEN)",""
"LS-ZHB","LEAVING RECORDS - The Doober - TEST PRESSING","Lord Spikeheart - Zebra Hoodie. Black",""
"LS-SOTL","LEAVING RECORDS - Music for Saxofone and Bass Guitar More - CASSETTE","Lord Spikeheart - Special offer: TYVM Long Sleeve + TYVM Hoodie",""
"GH-AHFA-TOC","LEAVING RECORDS - Solar Editions - SOLAR EDITIONS CASSETTE","Green-House - A Host for All Kinds of Life LP",""
"AR-12V","LEAVING RECORDS - Entity Relation EP - VINYL","Ana Roxanne - ~~~ Cassette",""
"198704240478","LEAVING RECORDS - Pulse - TEST PRESSING VINYL","LEAVING RECORDS - Pulse LP",""
"SG-DT-BV","LEAVING RECORDS - Six Songs for Invisible Gardens - Limited Edition 12"" Green Vinyl LP","Sam Gendel - Dream Trio LP",""
